cpu,ram,network
2.5,10.1,0.0
5.8,12.5,0.1
12.4,18.2,0.4
15.2,22.1,0.2
12.0,23.5,0.1
11.5,24.0,0.1
10.8,24.2,0.1
11.2,24.5,0.1
15.4,25.0,0.1
25.8,26.5,0.2
45.2,27.0,0.3
75.9,28.2,0.5
98.5,30.0,0.8
99.8,30.5,0.8
100.0,30.5,0.9
100.0,30.4,0.9
99.9,30.5,0.8
100.0,30.5,0.9
100.0,30.5,0.8
100.0,30.4,0.9
100.0,30.5,0.8
100.0,30.5,0.9
100.0,30.5,0.8
100.0,30.4,0.9
100.0,30.5,0.8
100.0,30.5,0.9
100.0,30.5,0.8
100.0,30.4,0.9
100.0,30.5,0.8
100.0,30.5,0.9
100.0,30.5,0.8
100.0,30.4,0.9
100.0,30.5,0.8
100.0,30.5,0.9
100.0,30.5,0.8
100.0,30.4,0.9
100.0,30.5,0.8
100.0,30.5,0.9
100.0,30.5,0.8
99.5,30.4,0.9
